Evaluation Episode,Score
1,259.7591060963798
2,293.41552807690823
3,63.738210825013624
4,249.70065186373117
5,302.41087342093067
6,258.92637953027645
7,288.5436452821451
8,266.9912711187196
9,185.80528549280143
10,265.6940716656585
11,280.6322085651268
12,244.1803257298144
13,258.10836546526104
14,244.5695060925826
15,265.0127166888842
16,276.2017027839827
17,251.5726034586258
18,204.1337440971369
19,304.09334492429946
20,291.77712479180695
21,225.56529435483588
22,255.77168640331752
23,249.18581606964113
24,237.57850023744177
25,257.0555337500971
26,290.83262076232666
27,23.69479563046552
28,277.70594395485926
29,269.18359504498335
30,292.02088392325936
31,245.96659800515945
32,256.9248254657375
33,239.5686995728396
34,274.8004292139005
35,264.93085734618717
36,259.9679640328415
37,239.62559775752533
38,292.4284756389875
39,257.38492072876875
40,291.39450763031425
41,271.6661382289519
42,295.5286628289159
43,269.05737534717156
44,29.2526348603148
45,282.8204601304992
46,266.71358327025985
47,272.3052141363478
48,282.87853086301004
49,61.01138658030703
50,288.20927315503326
51,255.3145100809803
52,248.87621256114485
53,274.900705873552
54,292.9262901971955
55,243.9761553525716
56,248.81361453479403
57,246.04381727084197
58,275.5497151397566
59,293.10153922301885
60,262.834418626516
61,293.65906757797654
62,266.1007923822468
63,302.39024439400526
64,161.05452434556673
65,273.8097165571979
66,278.29121697436534
67,292.5704102596719
68,268.8893526388377
69,272.34569715788405
70,263.8603023314608
71,235.61604301369493
72,264.63062398675766
73,244.83111298114179
74,203.37750657541574
75,288.9286921005904
76,236.31561873683248
77,250.33567653621998
78,276.60054663730654
79,270.2238016310498
80,262.64500046128194
81,259.602588094675
82,254.68236553180847
83,248.0801380572395
84,260.2804621857805
85,236.12373708247802
86,246.6744500530433
87,297.62880760320616
88,269.30929100247397
89,268.018144489307
90,261.7060916920489
91,234.28473079560115
92,249.64950707281147
93,284.269376316968
94,284.80788388412134
95,297.1849709055439
96,269.9122879516001
97,264.6963035130176
98,283.2581843234194
99,312.37938408336703
100,281.36318833207486
