Episode,Score,Average Score,tau
103,-114.94011622858,-156.08202606697282,0.0001
104,-216.5422693976384,-153.62279589679153,0.0001
105,-139.9381162311482,-148.66732248440684,0.0001
106,-100.57650557147832,-148.37003015325408,0.0001
107,-149.34285032280945,-148.61440511146859,0.0001
108,-133.73206976412516,-144.47028091958651,0.0001
109,-142.31402636068609,-142.95289704305088,0.0001
110,-134.77924185831762,-142.98182276529508,0.0001
111,-211.15310547143918,-144.6579299159512,0.0001
112,-183.40919576296866,-145.15075010635414,0.0001
113,-125.0609927420972,-144.87192040323325,0.0001
114,-152.64523124838598,-144.72691075833853,0.0001
115,-145.38820572985105,-144.91199858184768,0.0001
116,-148.12114798818436,-145.55440520384388,0.0001
117,-493.6367423088013,-149.31302404351828,0.0001
118,-80.56221891983982,-148.51687437325748,0.0001
119,-611.0025287262773,-153.6015635477565,0.0001
120,-570.0386305375032,-158.36378394122806,0.0001
121,-283.08066850179887,-159.72687732549525,0.0001
122,-190.8670283343136,-160.50169121920052,0.0001
123,-249.50911634131486,-161.688028390382,0.0001
124,-94.52741811563973,-161.44131456221353,0.0001
125,-178.68900945553924,-161.99739580760877,0.0001
126,-166.73035525979222,-162.51028658463224,0.0001
127,-171.76370889011025,-162.9888196505295,0.0001
128,-58.8603030549722,-162.68710331808123,0.0001
129,-168.09990822960486,-162.93777313289547,0.0001
130,-158.28732007012886,-162.9220404419408,0.0001
131,-129.16545870010987,-163.33941177588852,0.0001
132,-106.66361009268883,-163.40050511266767,0.0001
133,-74.82684243313263,-162.89842877615445,0.0001
134,-176.00954141267013,-163.1711369384849,0.0001
135,-143.92281568047332,-163.27690694058043,0.0001
136,-172.86228563108526,-163.57890952139508,0.0001
137,-214.70147444820645,-164.37788679562323,0.0001
138,-52.57162998946721,-163.54433997278832,0.0001
139,-17.699961794511253,-162.46733358248125,0.0001
140,-104.83849105214543,-162.21100713130153,0.0001
141,-136.6983717563987,-161.8392677204858,0.0001
142,-81.73792031748349,-161.21679313670222,0.0001
143,-121.60530861790012,-161.05425570078262,0.0001
144,-73.38825093154544,-160.0761826457082,0.0001
145,-84.8606667780295,-159.7878445164208,0.0001
146,-168.8908277977888,-159.64747366826984,0.0001
147,-133.84890584139993,-159.43388452508708,0.0001
148,-164.1830167613986,-160.31257357725525,0.0001
149,-116.60043636612912,-160.03174256932598,0.0001
150,-102.4441762038225,-159.9329239545863,0.0001
151,-127.45869828093007,-158.88208345057217,0.0001
152,-169.82361399351595,-159.5172768298601,0.0001
153,-192.0775533323967,-160.07469771457724,0.0001
154,-225.69985676390291,-161.04296496548375,0.0001
155,-119.68543008298144,-161.03320495213583,0.0001
156,-172.80155607969493,-161.50066273422468,0.0001
157,-197.12982386621547,-161.81957033328908,0.0001
158,-181.3467003381271,-162.14457260790428,0.0001
159,-127.10466775002317,-162.1066415935123,0.0001
160,-184.14598832810734,-161.93145228329496,0.0001
161,-206.43178314774806,-162.28728775403297,0.0001
162,-187.31190026622187,-162.86435862946757,0.0001
163,-232.9852267570652,-164.03703110665577,0.0001
164,-253.53171165919835,-166.07581789187572,0.0001
165,-74.22727954277164,-165.23286230751728,0.0001
166,-135.14213562282418,-165.29545173678036,0.0001
167,-160.93152342370504,-165.47973753149753,0.0001
168,-124.68136243218632,-165.2454762670973,0.0001
169,-94.95966834697089,-164.99385981168297,0.0001
170,-164.2699397326447,-164.95936266715674,0.0001
171,-171.3838406594924,-165.0965988403192,0.0001
172,-177.59353280606035,-165.4341072812973,0.0001
173,-186.9918287152614,-165.8982692870016,0.0001
174,-215.7702320190279,-166.83475523954846,0.0001
175,-304.6728565682713,-168.50014772753,0.0001
176,-189.37396628112785,-168.13945233413662,0.0001
177,-180.15286227496216,-168.72130795175212,0.0001
178,-155.19234779349225,-168.62389154492018,0.0001
179,-180.88884739183294,-168.34527365901417,0.0001
180,-223.4487768373585,-169.50870547985497,0.0001
181,-97.90480360187445,-168.85941087780668,0.0001
182,-128.72794084201314,-167.8352805217336,0.0001
183,-109.4599046920123,-166.92366297788487,0.0001
184,-113.20391523673726,-165.69677212463282,0.0001
185,-124.58982834685547,-165.7943954194113,0.0001
186,-130.83644197490983,-165.5846432841251,0.0001
187,-92.62162820835736,-165.06000579167704,0.0001
188,-158.46545315343755,-166.44113799207543,0.0001
189,-99.2143825365309,-166.01605550023731,0.0001
190,-72.96640910403497,-164.75166057105724,0.0001
191,-98.07609208756189,-165.20196322104755,0.0001
192,-125.91222467412014,-164.66420356075096,0.0001
193,-128.21933343022545,-163.28528571941885,0.0001
194,-124.38209781345088,-162.86792075012266,0.0001
195,-102.40359315471834,-161.32508772706294,0.0001
196,-94.99320970503057,-161.0233635631356,0.0001
197,-94.72552838313442,-160.55728434529544,0.0001
198,-85.43143683953268,-158.87887334144023,0.0001
199,-89.01202146041906,-158.26989634619335,0.0001
