episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
78001,522,9,cramped_room,10.3,8.966666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,27,2,1,30,30,30,0,0,11,9,1,0,9,9,0,180,162,0.0,0.8411764705882353,0.0,1.0,1.0
78002,576,10,cramped_room,10.3,8.966666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,31,0,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9722222222222222,0.0,1.0,1.0
78003,573,10,cramped_room,10.3,8.966666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,33,1,0,32,32,32,0,0,11,9,1,0,10,10,0,200,173,0.0,0.9583333333333333,0.0,1.0,1.0
78004,576,10,cramped_room,10.29,8.963333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,33,1,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,1.0,0.0,1.0,1.0
78005,582,10,cramped_room,10.29,8.963333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,33,1,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.96875,0.0,1.0,1.0
78006,582,10,cramped_room,10.29,8.963333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,31,0,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9285714285714286,0.0,1.0,1.0
78007,522,9,cramped_room,10.28,8.959999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,5,1,30,30,30,0,0,10,9,1,0,9,9,0,180,162,0.0,0.9416666666666667,0.0,1.0,1.0
78008,582,10,cramped_room,10.28,8.959999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,31,1,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9285714285714286,0.0,1.0,1.0
78009,522,9,cramped_room,10.26,8.953333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,32,6,1,30,30,30,0,0,12,9,3,0,9,9,0,180,162,0.0,0.8958333333333333,0.0,1.0,1.0
78010,519,9,cramped_room,10.24,8.946666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,30,2,0,29,29,29,0,0,9,9,0,0,9,9,0,180,159,0.0,0.96875,0.0,1.0,1.0
78011,536,9,cramped_room,10.23,8.943333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,30,1,0,32,32,32,0,0,10,10,0,0,10,9,0,180,176,0.0,0.9055555555555556,0.0,1.0,1.0
78012,522,9,cramped_room,10.21,8.936666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,32,4,3,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.96,0.0,1.0,1.0
78013,516,9,cramped_room,10.2,8.933333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,30,4,2,30,30,30,0,0,11,7,2,1,9,9,0,180,156,0.0,0.8901515151515151,0.0,1.0,1.0
78014,576,10,cramped_room,10.21,8.936666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,35,4,1,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9615384615384616,0.0,1.0,1.0
78015,513,9,cramped_room,10.19,8.93,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,29,5,4,27,27,27,0,0,9,9,0,0,9,9,0,180,153,0.0,0.9166666666666667,0.0,1.0,1.0
