episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
33001,308,5,cramped_room,9.02,8.44,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,20,20,0,0,20,20,20,0,0,6,6,0,0,6,5,0,100,108,0.0,1.0,0.0,1.0,1.0
33002,291,5,cramped_room,8.97,8.423333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,19,18,0,0,18,18,18,0,0,8,4,2,0,5,5,0,100,91,0.0,0.9583333333333333,0.0,1.0,1.0
33003,348,6,cramped_room,8.93,8.410000000000002,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,21,21,0,0,20,20,20,0,0,7,6,1,0,6,6,0,120,108,0.0,1.0,0.0,1.0,1.0
33004,408,7,cramped_room,8.91,8.403333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,25,25,1,0,24,24,24,0,0,7,7,0,0,7,7,0,140,128,0.0,1.0,0.0,1.0,1.0
33005,387,7,cramped_room,8.89,8.396666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,1,0,23,23,23,0,0,8,1,1,1,7,7,0,140,107,0.0,1.0,0.0,1.0,1.0
33006,242,4,cramped_room,8.84,8.38,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,19,18,1,1,18,18,18,0,0,8,1,2,0,5,4,0,80,82,0.0,0.9642857142857143,0.0,1.0,1.0
33007,408,7,cramped_room,8.82,8.373333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,23,0,0,24,24,24,0,0,9,7,1,1,7,7,0,140,128,0.0,0.9666666666666667,0.0,1.0,1.0
33008,396,7,cramped_room,8.79,8.363333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,0,0,23,23,23,0,0,10,4,3,2,7,7,0,140,116,0.0,1.0,0.0,1.0,1.0
33009,353,6,cramped_room,8.76,8.353333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,21,20,0,0,21,21,21,0,0,9,5,2,1,7,6,0,120,113,0.0,0.9583333333333333,0.0,1.0,1.0
33010,333,6,cramped_room,8.72,8.340000000000002,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,21,21,0,0,21,21,21,0,0,10,0,4,3,6,6,0,120,93,0.0,1.0,0.0,1.0,1.0
33011,381,7,cramped_room,8.7,8.333333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,22,22,0,0,21,21,21,0,0,14,1,6,1,7,7,0,140,101,0.0,1.0,0.0,1.0,1.0
33012,350,6,cramped_room,8.67,8.323333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,0,0,24,24,24,0,0,9,1,2,1,7,6,0,120,110,0.0,1.0,0.0,1.0,1.0
33013,365,6,cramped_room,8.64,8.313333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,25,24,0,0,24,24,24,0,0,9,6,1,0,7,6,0,120,125,0.0,0.9615384615384616,0.0,1.0,1.0
33014,336,6,cramped_room,8.61,8.303333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,21,21,0,0,21,21,21,0,0,11,1,3,1,6,6,0,120,96,0.0,1.0,0.0,1.0,1.0
33015,390,7,cramped_room,8.58,8.293333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,22,22,0,0,22,22,22,0,0,9,3,2,0,7,7,0,140,110,0.0,1.0,0.0,1.0,1.0
33016,333,6,cramped_room,8.55,8.283333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,22,22,1,0,21,21,21,0,0,8,0,2,0,6,6,0,120,93,0.0,0.5,0.0,0.5,1.0
33017,282,5,cramped_room,8.51,8.270000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,18,18,0,0,18,18,18,0,0,9,1,2,2,5,5,0,100,82,0.0,1.0,0.0,1.0,1.0
33018,381,7,cramped_room,8.49,8.263333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,23,22,0,0,22,22,22,0,0,8,0,1,0,7,7,0,140,101,0.0,0.9642857142857143,0.0,1.0,1.0
33019,450,8,cramped_room,8.48,8.26,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,26,26,0,0,26,26,26,0,0,11,4,2,1,8,8,0,160,130,0.0,1.0,0.0,1.0,1.0
33020,393,7,cramped_room,8.46,8.253333333333336,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,0,0,24,24,24,0,0,10,2,3,0,7,7,0,140,113,0.0,1.0,0.0,1.0,1.0
33021,456,8,cramped_room,8.45,8.25,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,26,25,0,0,25,25,25,0,0,10,7,2,0,8,8,0,160,136,0.0,0.9545454545454546,0.0,1.0,1.0
33022,342,6,cramped_room,8.42,8.24,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,21,21,0,0,21,21,21,0,0,7,3,1,1,6,6,0,120,102,0.0,1.0,0.0,1.0,1.0
33023,438,8,cramped_room,8.41,8.236666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,26,26,0,0,25,25,25,0,0,10,1,2,0,8,8,0,160,118,0.0,1.0,0.0,1.0,1.0
