episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
87001,549,10,cramped_room,10.32,8.930000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,30,0,0,31,31,31,0,0,11,2,1,0,10,10,0,200,149,0.0,0.9473684210526316,0.0,1.0,1.0
87002,579,10,cramped_room,10.32,8.930000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,33,5,2,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.8666666666666667,0.0,1.0,1.0
87003,525,9,cramped_room,10.3,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,34,10,5,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.8186813186813187,0.0,1.0,1.0
87004,587,10,cramped_room,10.3,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,30,1,0,33,33,33,0,0,11,11,0,0,11,10,0,200,187,0.0,0.8823529411764706,0.0,1.0,1.0
87005,579,10,cramped_room,10.3,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,30,0,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9107142857142857,0.0,1.0,1.0
87006,587,10,cramped_room,10.3,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,42,37,8,2,33,33,33,0,0,12,11,1,0,11,10,0,200,187,0.0,0.8713527851458887,0.0,1.0,1.0
87007,573,10,cramped_room,10.3,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,33,5,0,31,31,31,0,0,10,10,0,0,10,10,0,200,173,0.0,0.9166666666666667,0.0,1.0,1.0
87008,587,10,cramped_room,10.3,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,39,7,0,33,33,33,0,0,11,11,0,0,11,10,0,200,187,0.0,0.9410919540229885,0.0,1.0,1.0
87009,567,10,cramped_room,10.29,8.92,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,1,1,33,33,33,0,0,17,6,7,3,10,10,0,200,167,0.0,0.95,0.0,1.0,1.0
87010,590,10,cramped_room,10.29,8.92,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,29,1,1,34,34,34,0,0,12,11,1,0,11,10,0,200,190,0.0,0.8496376811594203,0.0,1.0,1.0
