episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
51001,453,8,cramped_room,10.05,8.78,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,25,24,0,0,25,25,25,0,0,10,6,2,0,8,8,0,160,133,0.0,0.9583333333333333,0.0,1.0,1.0
51002,465,8,cramped_room,10.03,8.773333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,3,0,27,27,27,0,0,8,8,0,0,8,8,0,160,145,0.0,1.0,0.0,1.0,1.0
51003,473,8,cramped_room,10.01,8.766666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,28,5,1,27,27,27,0,0,9,9,0,0,9,8,0,160,153,0.0,0.8745098039215686,0.0,1.0,1.0
51004,450,8,cramped_room,9.99,8.76,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,28,2,0,26,26,26,0,0,13,4,5,3,8,8,0,160,130,0.0,1.0,0.0,1.0,1.0
51005,519,9,cramped_room,9.98,8.756666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,27,0,0,29,29,29,0,0,9,9,0,0,9,9,0,180,159,0.0,0.9285714285714286,0.0,1.0,1.0
51006,519,9,cramped_room,9.98,8.756666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,30,2,1,29,29,29,0,0,9,9,0,0,9,9,0,180,159,0.0,0.9655172413793103,0.0,1.0,1.0
51007,513,9,cramped_room,9.97,8.753333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,29,29,29,0,0,17,7,8,3,9,9,0,180,153,0.0,1.0,0.0,1.0,1.0
51008,522,9,cramped_room,9.96,8.75,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,28,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9444444444444444,0.0,1.0,1.0
51009,522,9,cramped_room,9.96,8.75,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9583333333333333,0.0,1.0,1.0
51010,504,9,cramped_room,9.95,8.746666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,28,1,1,29,29,29,0,0,17,4,8,1,9,9,0,180,144,0.0,0.8952991452991452,0.0,1.0,1.0
