episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
24001,9,0,cramped_room,9.12,8.22,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,2,1,1,1,0,0,0,0,9,0.0,0.5,0.0,0.5,1.0
24002,9,0,cramped_room,9.02,8.186666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,2,1,1,1,0,0,0,0,9,0.0,0.5,0.0,0.5,1.0
24003,12,0,cramped_room,8.92,8.153333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,3,1,1,1,0,0,0,0,12,0.0,1.0,0.0,1.0,1.0
24004,12,0,cramped_room,8.86,8.133333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,2,1,1,1,0,0,0,0,12,0.0,1.0,0.0,1.0,1.0
24005,12,0,cramped_room,8.78,8.106666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,3,1,1,1,0,0,0,0,12,0.0,0.5,0.0,0.5,1.0
24006,9,0,cramped_room,8.69,8.076666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,2,1,1,1,0,0,0,0,9,0.0,1.0,0.0,1.0,1.0
24007,9,0,cramped_room,8.6,8.046666666666665,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,2,0,1,0,0,0,0,0,9,0.0,1.0,0.0,1.0,1.0
24008,12,0,cramped_room,8.51,8.016666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,5,3,1,1,3,3,3,0,0,3,1,2,2,0,0,0,0,12,0.0,0.6666666666666666,0.0,1.0,1.0
24009,20,0,cramped_room,8.46,8.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,2,2,1,1,4,0,0,0,20,0.0,1.0,0.0,1.0,1.0
24010,12,0,cramped_room,8.36,7.966666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,2,1,1,1,0,0,0,0,12,0.0,0.5,0.0,0.5,1.0
24011,12,0,cramped_room,8.27,7.9366666666666665,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,4,1,2,1,0,0,0,0,12,0.0,1.0,0.0,1.0,1.0
24012,12,0,cramped_room,8.17,7.903333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,4,4,0,0,3,3,3,0,0,2,1,1,1,0,0,0,0,12,0.0,1.0,0.0,1.0,1.0
24013,17,0,cramped_room,8.08,7.873333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,0,2,0,1,0,1,0,0,0,17,0.0,1.0,0.0,1.0,1.0
24014,12,0,cramped_room,7.98,7.84,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,3,1,1,1,0,0,0,0,12,0.0,1.0,0.0,1.0,1.0
24015,12,0,cramped_room,7.89,7.81,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,2,1,1,1,0,0,0,0,12,0.0,0.5,0.0,0.5,1.0
24016,12,0,cramped_room,7.79,7.776666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,2,1,1,1,0,0,0,0,12,0.0,1.0,0.0,1.0,1.0
24017,20,0,cramped_room,7.7,7.746666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,5,0,0,2,0,1,0,1,0,0,0,20,0.0,0.5,0.0,0.5,1.0
24018,20,0,cramped_room,7.6,7.713333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,0,5,1,2,1,1,0,0,0,20,0.0,1.0,0.0,1.0,1.0
