episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
69001,576,10,cramped_room,10.25,8.86,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,32,0,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,1.0,0.0,1.0,1.0
69002,576,10,cramped_room,10.24,8.856666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,38,7,1,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9494949494949495,0.0,1.0,1.0
69003,579,10,cramped_room,10.23,8.853333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,34,2,2,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.96875,0.0,1.0,1.0
69004,525,9,cramped_room,10.21,8.846666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,30,1,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.9615384615384616,0.0,1.0,1.0
69005,527,9,cramped_room,10.19,8.84,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,33,3,0,30,30,30,0,0,10,9,0,0,10,9,0,180,167,0.0,0.9761904761904762,0.0,1.0,1.0
69006,579,10,cramped_room,10.18,8.836666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,36,3,1,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,1.0,0.0,1.0,1.0
69007,573,10,cramped_room,10.18,8.836666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,33,2,2,31,31,31,0,0,10,10,0,0,10,10,0,200,173,0.0,1.0,0.0,1.0,1.0
69008,536,9,cramped_room,10.17,8.833333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,36,3,1,32,32,32,0,0,10,10,0,0,10,10,0,180,176,0.0,1.0,0.0,1.0,1.0
69009,582,10,cramped_room,10.17,8.833333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,33,1,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9722222222222222,0.0,1.0,1.0
69010,525,9,cramped_room,10.16,8.83,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,4,1,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.9111842105263157,0.0,1.0,1.0
69011,522,9,cramped_room,10.15,8.826666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,33,2,2,30,30,30,0,0,13,9,3,1,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
69012,579,10,cramped_room,10.14,8.823333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,34,1,1,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9736842105263157,0.0,1.0,1.0
69013,530,9,cramped_room,10.12,8.816666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,42,39,12,3,30,30,30,0,0,10,10,0,0,10,9,0,180,170,0.0,0.9375,0.0,1.0,1.0
69014,570,10,cramped_room,10.11,8.813333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,36,7,1,31,31,31,0,0,10,9,0,0,10,10,0,200,170,0.0,0.9444444444444444,0.0,1.0,1.0
69015,576,10,cramped_room,10.1,8.81,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,32,0,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9772727272727273,0.0,1.0,1.0
69016,579,10,cramped_room,10.09,8.806666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,36,5,2,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9565217391304348,0.0,1.0,1.0
