episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
105001,636,11,cramped_room,11.0,9.110000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,43,39,6,2,36,36,36,0,0,11,11,0,0,11,11,0,220,196,0.0,0.9080086580086579,0.0,1.0,1.0
105002,630,11,cramped_room,10.99,9.106666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,38,4,1,34,34,34,0,0,11,11,0,0,11,11,0,220,190,0.0,0.9473684210526316,0.0,1.0,1.0
105003,636,11,cramped_room,10.99,9.106666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,39,4,3,36,36,36,0,0,11,11,0,0,11,11,0,220,196,0.0,0.9545454545454546,0.0,1.0,1.0
105004,636,11,cramped_room,10.99,9.106666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,36,4,4,36,36,36,0,0,11,11,0,0,11,11,0,220,196,0.0,0.8976982097186701,0.0,1.0,1.0
105005,630,11,cramped_room,10.99,9.106666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,2,1,34,34,34,0,0,11,11,0,0,11,11,0,220,190,0.0,0.9212121212121211,0.0,1.0,1.0
105006,522,9,cramped_room,10.97,9.1,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,30,6,4,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.8391608391608392,0.0,1.0,1.0
105007,408,7,cramped_room,10.92,9.083333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,28,10,5,24,24,24,0,0,8,7,1,0,7,7,0,140,128,0.0,0.7770897832817337,0.0,1.0,1.0
105008,561,10,cramped_room,10.91,9.08,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,34,4,2,33,33,33,0,0,12,4,1,0,10,10,0,200,161,0.0,0.8991596638655461,0.0,1.0,1.0
105009,538,9,cramped_room,10.89,9.073333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,1,1,34,34,34,0,0,12,7,1,0,11,9,0,180,178,0.0,0.9166666666666667,0.0,1.0,1.0
105010,570,10,cramped_room,10.88,9.07,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,35,4,2,33,33,33,0,0,12,7,1,0,10,10,0,200,170,0.0,0.925,0.0,1.0,1.0
