episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
96024,576,10,cramped_room,10.1,8.866666666666665,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,30,0,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9411764705882353,0.0,1.0,1.0
96025,579,10,cramped_room,10.09,8.863333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,32,1,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9244444444444444,0.0,1.0,1.0
96026,582,10,cramped_room,10.08,8.860000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,37,3,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,1.0,0.0,1.0,1.0
96027,359,6,cramped_room,10.03,8.843333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,23,5,4,21,21,21,0,0,7,7,0,0,7,6,0,120,119,0.0,0.8947368421052632,0.0,1.0,1.0
96028,576,10,cramped_room,10.02,8.84,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,2,2,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9388111888111889,0.0,1.0,1.0
96029,527,9,cramped_room,10.0,8.833333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,29,0,0,30,30,30,0,0,12,9,2,1,10,9,0,180,167,0.0,0.9333333333333333,0.0,1.0,1.0
96030,519,9,cramped_room,9.99,8.83,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,31,1,1,30,30,30,0,0,11,8,1,0,9,9,0,180,159,0.0,0.9705882352941176,0.0,1.0,1.0
96031,582,10,cramped_room,9.98,8.826666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,35,5,3,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9147727272727273,0.0,1.0,1.0
96032,579,10,cramped_room,9.97,8.823333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,2,0,33,33,33,0,0,11,10,0,0,10,10,0,200,179,0.0,0.9473684210526316,0.0,1.0,1.0
96033,518,9,cramped_room,9.95,8.816666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,31,1,0,30,30,30,0,0,13,6,3,0,10,9,0,180,158,0.0,0.9642857142857143,0.0,1.0,1.0
96034,582,10,cramped_room,9.95,8.816666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,31,2,2,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.8856209150326797,0.0,1.0,1.0
96035,582,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,2,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.96,0.0,1.0,1.0
96036,582,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,35,3,2,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9473684210526316,0.0,1.0,1.0
