episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
60001,408,7,cramped_room,10.4,9.036666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,22,1,0,24,24,24,0,0,7,7,0,0,7,7,0,140,128,0.0,0.8323529411764705,0.0,1.0,1.0
60002,462,8,cramped_room,10.38,9.030000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,24,1,1,26,26,26,0,0,8,8,0,0,8,8,0,160,142,0.0,0.825,0.0,1.0,1.0
60003,465,8,cramped_room,10.36,9.023333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,27,2,1,27,27,27,0,0,8,8,0,0,8,8,0,160,145,0.0,0.9333333333333333,0.0,1.0,1.0
60004,411,7,cramped_room,10.32,9.01,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,33,11,1,24,24,24,0,0,8,8,0,0,7,7,0,140,131,0.0,0.9188311688311688,0.0,1.0,1.0
60005,519,9,cramped_room,10.3,9.003333333333336,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,32,5,3,29,29,29,0,0,9,9,0,0,9,9,0,180,159,0.0,0.9392857142857143,0.0,1.0,1.0
60006,465,8,cramped_room,10.27,8.993333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,38,11,1,27,27,27,0,0,8,8,0,0,8,8,0,160,145,0.0,0.95,0.0,1.0,1.0
60007,513,9,cramped_room,10.25,8.986666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,30,5,3,27,27,27,0,0,9,9,0,0,9,9,0,180,153,0.0,0.9022556390977443,0.0,1.0,1.0
60008,237,4,cramped_room,10.19,8.966666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,22,8,1,15,15,15,0,0,5,4,0,0,4,4,0,80,77,0.0,0.9333333333333333,0.0,1.0,1.0
60009,522,9,cramped_room,10.18,8.963333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,39,38,8,1,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9615384615384616,0.0,1.0,1.0
60010,468,8,cramped_room,10.15,8.953333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,27,2,1,27,27,27,0,0,9,9,0,0,8,8,0,160,148,0.0,0.9444444444444444,0.0,1.0,1.0
60011,513,9,cramped_room,10.13,8.946666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,8,3,27,27,27,0,0,9,9,0,0,9,9,0,180,153,0.0,0.916083916083916,0.0,1.0,1.0
60012,522,9,cramped_room,10.11,8.94,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,33,3,2,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
60013,468,8,cramped_room,10.09,8.933333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,8,2,27,27,27,0,0,9,9,0,0,8,8,0,160,148,0.0,0.9565217391304348,0.0,1.0,1.0
60014,525,9,cramped_room,10.08,8.93,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
60015,525,9,cramped_room,10.06,8.923333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,30,3,1,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.9080882352941176,0.0,1.0,1.0
60016,516,9,cramped_room,10.04,8.916666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,39,13,5,28,28,28,0,0,9,9,0,0,9,9,0,180,156,0.0,0.9504830917874396,0.0,1.0,1.0
60017,570,10,cramped_room,10.04,8.916666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,29,0,0,30,30,30,0,0,10,10,0,0,10,10,0,200,170,0.0,0.95,0.0,1.0,1.0
60018,516,9,cramped_room,10.02,8.910000000000002,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,37,9,3,28,28,28,0,0,9,9,0,0,9,9,0,180,156,0.0,1.0,0.0,1.0,1.0
60019,522,9,cramped_room,10.01,8.906666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,7,1,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9181286549707601,0.0,1.0,1.0
60020,530,9,cramped_room,10.0,8.903333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,32,4,1,30,30,30,0,0,10,10,0,0,10,9,0,180,170,0.0,0.9377289377289377,0.0,1.0,1.0
60021,501,9,cramped_room,9.98,8.896666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,1,1,28,28,28,0,0,10,4,1,0,9,9,0,180,141,0.0,0.9666666666666667,0.0,1.0,1.0
60022,525,9,cramped_room,9.97,8.893333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,33,6,2,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.9188311688311688,0.0,1.0,1.0
60023,552,10,cramped_room,9.96,8.89,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,28,0,0,30,30,30,0,0,16,4,5,2,10,10,0,200,152,0.0,0.9583333333333333,0.0,1.0,1.0
60024,555,10,cramped_room,9.95,8.886666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,30,1,1,32,32,32,0,0,18,3,7,1,10,10,0,200,155,0.0,0.8656126482213439,0.0,1.0,1.0
60025,530,9,cramped_room,9.93,8.88,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,0,0,30,30,30,0,0,10,10,0,0,10,9,0,180,170,0.0,0.9761904761904762,0.0,1.0,1.0
60026,570,10,cramped_room,9.92,8.876666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,28,1,0,30,30,30,0,0,11,10,1,1,10,10,0,200,170,0.0,0.9117647058823529,0.0,1.0,1.0
60027,522,9,cramped_room,9.9,8.87,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,30,4,1,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9166666666666667,0.0,1.0,1.0
60028,522,9,cramped_room,9.88,8.863333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,32,6,2,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.8913043478260869,0.0,1.0,1.0
