episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
114001,482,8,cramped_room,10.77,9.086666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,30,5,3,30,30,30,0,0,9,9,0,0,9,8,0,160,162,0.0,0.857843137254902,0.0,1.0,1.0
114002,576,10,cramped_room,10.76,9.083333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,29,3,1,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.8333333333333333,0.0,1.0,1.0
114003,522,9,cramped_room,10.74,9.076666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,32,4,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9375,0.0,1.0,1.0
114004,576,10,cramped_room,10.73,9.073333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,33,8,1,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.8047619047619048,0.0,1.0,1.0
114005,579,10,cramped_room,10.72,9.07,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,4,1,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9195906432748537,0.0,1.0,1.0
114006,525,9,cramped_room,10.7,9.063333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,32,6,2,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,0.8888888888888888,0.0,1.0,1.0
114007,582,10,cramped_room,10.69,9.06,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,32,6,4,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.7994987468671679,0.0,1.0,1.0
114008,522,9,cramped_room,10.67,9.053333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,28,4,3,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.805921052631579,0.0,1.0,1.0
114009,522,9,cramped_room,10.65,9.046666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,28,2,1,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.8474264705882353,0.0,1.0,1.0
114010,573,10,cramped_room,10.66,9.049999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,32,4,1,31,31,31,0,0,10,10,0,0,10,10,0,200,173,0.0,0.8885448916408669,0.0,1.0,1.0
114011,530,9,cramped_room,10.64,9.043333333333335,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,29,2,0,30,30,30,0,0,10,10,0,0,10,9,0,180,170,0.0,0.90625,0.0,1.0,1.0
114012,579,10,cramped_room,10.63,9.040000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,40,37,6,3,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9318181818181819,0.0,1.0,1.0
114013,579,10,cramped_room,10.62,9.036666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,2,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9442724458204335,0.0,1.0,1.0
114014,576,10,cramped_room,10.61,9.033333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,35,4,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,0.9444444444444444,0.0,1.0,1.0
114015,579,10,cramped_room,10.6,9.03,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,33,3,1,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.8918128654970761,0.0,1.0,1.0
114016,633,11,cramped_room,10.61,9.033333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,1,1,35,35,35,0,0,11,11,0,0,11,11,0,220,193,0.0,0.9211309523809523,0.0,1.0,1.0
114017,579,10,cramped_room,10.6,9.03,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,30,1,1,33,33,33,0,0,11,10,1,0,10,10,0,200,179,0.0,0.880701754385965,0.0,1.0,1.0
114018,579,10,cramped_room,10.59,9.026666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,30,3,3,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.7919254658385093,0.0,1.0,1.0
114019,582,10,cramped_room,10.58,9.023333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,35,4,2,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9455882352941176,0.0,1.0,1.0
114020,579,10,cramped_room,10.57,9.020000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,39,32,4,2,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.8192934782608696,0.0,1.0,1.0
114021,636,11,cramped_room,10.58,9.023333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,34,4,3,36,36,36,0,0,11,11,0,0,11,11,0,220,196,0.0,0.8297619047619047,0.0,1.0,1.0
114022,624,11,cramped_room,10.58,9.023333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,2,1,34,34,34,0,0,12,9,1,0,11,11,0,220,184,0.0,0.9195906432748537,0.0,1.0,1.0
114023,636,11,cramped_room,10.59,9.026666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,34,2,2,36,36,36,0,0,11,11,0,0,11,11,0,220,196,0.0,0.9090909090909092,0.0,1.0,1.0
114024,582,10,cramped_room,10.58,9.023333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,39,39,6,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,1.0,0.0,1.0,1.0
114025,579,10,cramped_room,10.57,9.020000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,36,3,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9772727272727273,0.0,1.0,1.0
114026,579,10,cramped_room,10.56,9.016666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,31,2,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.8591331269349844,0.0,1.0,1.0
