episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
1,6,0,cramped_room,0.0,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,11,11,8,0,2,2,2,0,0,10,0,9,8,0,0,0,0,6,0.0,1.0,0.0,0.5,1.0
2,6,0,cramped_room,0.0,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,16,4,13,11,1,1,1,0,0,2,1,2,0,0,0,0,0,6,0.0,0.2698412698412698,0.0,0.5,1.0
3,11,0,cramped_room,0.0,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,7,7,4,0,2,2,2,0,0,11,0,10,5,2,0,0,0,11,0.0,0.5,0.0,0.5,1.0
4,14,0,cramped_room,0.0,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,14,14,11,0,3,3,3,0,0,10,0,8,0,3,0,0,0,14,0.0,1.0,0.0,1.0,1.0
5,8,0,cramped_room,0.0,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,7,7,5,0,1,1,1,0,0,12,0,10,8,1,1,0,0,8,0.0,1.0,0.0,0.5,1.0
6,57,1,cramped_room,0.16666666666666666,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,12,10,6,1,4,4,4,0,0,6,0,5,2,1,1,0,20,17,0.0,0.7,0.0,1.0,1.0
7,3,0,cramped_room,0.14285714285714285,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,9,9,6,0,1,1,1,0,0,17,0,17,11,0,0,0,0,3,0.0,1.0,0.0,0.5,1.0
8,6,0,cramped_room,0.125,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,11,10,7,0,2,2,2,0,0,4,0,4,2,0,0,0,0,6,0.0,0.9285714285714286,0.0,1.0,1.0
9,0,0,cramped_room,0.1111111111111111,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,6,6,5,0,0,0,0,0,0,6,0,5,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
10,17,0,cramped_room,0.1,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,22,8,17,11,3,3,3,0,0,1,1,0,0,2,1,0,0,17,0.0,0.3666666666666667,0.0,0.5,1.0
11,14,0,cramped_room,0.09090909090909091,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,10,9,6,0,3,3,3,0,0,8,0,7,3,1,0,0,0,14,0.0,0.9444444444444444,0.0,0.5,1.0
12,8,0,cramped_room,0.08333333333333333,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,12,12,11,0,1,1,1,0,0,8,0,5,2,1,0,0,0,8,0.0,0.5,0.0,0.5,1.0
13,11,0,cramped_room,0.07692307692307693,0.0,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,23,16,20,6,2,2,2,0,0,12,0,10,1,1,1,0,0,11,0.0,0.696969696969697,0.0,0.5,1.0
